Партер, Правая сторона, Ряд 1, Место 1- 12000 руб.
Партер, Правая сторона, Ряд 1, Место 2- 12000 руб.
Партер, Правая сторона, Ряд 1, Место 3- 12000 руб.
Партер, Правая сторона, Ряд 1, Место 4- 12000 руб.
Партер, Правая сторона, Ряд 1, Место 5- 12000 руб.
Партер, Правая сторона, Ряд 1, Место 6- 12000 руб.
Партер, Правая сторона, Ряд 1, Место 7- 12000 руб.
Партер, Правая сторона, Ряд 1, Место 8- 12000 руб.
Партер, Правая сторона, Ряд 1, Место 9- 12000 руб.
Партер, Правая сторона, Ряд 1, Место 10- 12000 руб.
Партер, Правая сторона, Ряд 1, Место 11- 12000 руб.
Партер, Правая сторона, Ряд 1, Место 12- 12000 руб.
Партер, Правая сторона, Ряд 1, Место 13- 12000 руб.
Партер, Левая сторона, Ряд 1, Место 16- 12000 руб.
Партер, Левая сторона, Ряд 1, Место 17- 12000 руб.
Партер, Левая сторона, Ряд 1, Место 18- 12000 руб.
Партер, Левая сторона, Ряд 1, Место 19- 12000 руб.
Партер, Левая сторона, Ряд 1, Место 20- 12000 руб.
Партер, Левая сторона, Ряд 1, Место 21- 12000 руб.
Партер, Левая сторона, Ряд 1, Место 22- 12000 руб.
Партер, Левая сторона, Ряд 1, Место 23- 12000 руб.
Партер, Левая сторона, Ряд 1, Место 24- 12000 руб.
Партер, Левая сторона, Ряд 1, Место 25- 12000 руб.
Партер, Левая сторона, Ряд 1, Место 26- 12000 руб.
Партер, Левая сторона, Ряд 1, Место 27- 12000 руб.
Партер, Левая сторона, Ряд 1, Место 28- 12000 руб.
Партер, Левая сторона, Ряд 1, Место 29- 12000 руб.
Партер, Левая сторона, Ряд 1, Место 30- 12000 руб.
Партер, Правая сторона, Ряд 2, Место 1- 12000 руб.
Партер, Правая сторона, Ряд 2, Место 2- 12000 руб.
Партер, Правая сторона, Ряд 2, Место 3- 12000 руб.
Партер, Правая сторона, Ряд 2, Место 4- 12000 руб.
Партер, Правая сторона, Ряд 2, Место 5- 12000 руб.
Партер, Правая сторона, Ряд 2, Место 6- 12000 руб.
Партер, Правая сторона, Ряд 2, Место 7- 12000 руб.
Партер, Правая сторона, Ряд 2, Место 8- 12000 руб.
Партер, Правая сторона, Ряд 2, Место 9- 12000 руб.
Партер, Правая сторона, Ряд 2, Место 10- 12000 руб.
Партер, Правая сторона, Ряд 2, Место 11- 12000 руб.
Партер, Правая сторона, Ряд 2, Место 12- 12000 руб.
Партер, Правая сторона, Ряд 2, Место 13- 12000 руб.
Партер, Правая сторона, Ряд 2, Место 14- 12000 руб.
Партер, Правая сторона, Ряд 2, Место 15- 12000 руб.
Партер, Левая сторона, Ряд 2, Место 16- 12000 руб.
Партер, Левая сторона, Ряд 2, Место 17- 12000 руб.
Партер, Левая сторона, Ряд 2, Место 18- 12000 руб.
Партер, Левая сторона, Ряд 2, Место 19- 12000 руб.
Партер, Левая сторона, Ряд 2, Место 20- 12000 руб.
Партер, Левая сторона, Ряд 2, Место 21- 12000 руб.
Партер, Левая сторона, Ряд 2, Место 22- 12000 руб.
Партер, Левая сторона, Ряд 2, Место 23- 12000 руб.
Партер, Левая сторона, Ряд 2, Место 24- 12000 руб.
Партер, Левая сторона, Ряд 2, Место 25- 12000 руб.
Партер, Левая сторона, Ряд 2, Место 26- 12000 руб.
Партер, Левая сторона, Ряд 2, Место 27- 12000 руб.
Партер, Левая сторона, Ряд 2, Место 28- 12000 руб.
Партер, Левая сторона, Ряд 2, Место 29- 12000 руб.
Партер, Левая сторона, Ряд 2, Место 30- 12000 руб.
Партер, Правая сторона, Ряд 3, Место 1- 12000 руб.
Партер, Правая сторона, Ряд 3, Место 2- 12000 руб.
Партер, Правая сторона, Ряд 3, Место 3- 12000 руб.
Партер, Правая сторона, Ряд 3, Место 4- 12000 руб.
Партер, Правая сторона, Ряд 3, Место 5- 12000 руб.
Партер, Правая сторона, Ряд 3, Место 6- 12000 руб.
Партер, Правая сторона, Ряд 3, Место 7- 12000 руб.
Партер, Правая сторона, Ряд 3, Место 8- 12000 руб.
Партер, Правая сторона, Ряд 3, Место 9- 12000 руб.
Партер, Правая сторона, Ряд 3, Место 10- 12000 руб.
Партер, Правая сторона, Ряд 3, Место 11- 12000 руб.
Партер, Правая сторона, Ряд 3, Место 12- 12000 руб.
Партер, Правая сторона, Ряд 3, Место 13- 12000 руб.
Партер, Левая сторона, Ряд 3, Место 16- 12000 руб.
Партер, Левая сторона, Ряд 3, Место 17- 12000 руб.
Партер, Левая сторона, Ряд 3, Место 18- 12000 руб.
Партер, Левая сторона, Ряд 3, Место 19- 12000 руб.
Партер, Левая сторона, Ряд 3, Место 20- 12000 руб.
Партер, Левая сторона, Ряд 3, Место 21- 12000 руб.
Партер, Левая сторона, Ряд 3, Место 22- 12000 руб.
Партер, Левая сторона, Ряд 3, Место 23- 12000 руб.
Партер, Левая сторона, Ряд 3, Место 24- 12000 руб.
Партер, Левая сторона, Ряд 3, Место 25- 12000 руб.
Партер, Левая сторона, Ряд 3, Место 26- 12000 руб.
Партер, Левая сторона, Ряд 3, Место 27- 12000 руб.
Партер, Левая сторона, Ряд 3, Место 28- 12000 руб.
Партер, Левая сторона, Ряд 3, Место 29- 12000 руб.
Партер, Левая сторона, Ряд 3, Место 30- 12000 руб.
Партер, Правая сторона, Ряд 4, Место 1- 12000 руб.
Партер, Правая сторона, Ряд 4, Место 2- 12000 руб.
Партер, Правая сторона, Ряд 4, Место 3- 12000 руб.
Партер, Правая сторона, Ряд 4, Место 4- 12000 руб.
Партер, Правая сторона, Ряд 4, Место 5- 12000 руб.
Партер, Правая сторона, Ряд 4, Место 6- 12000 руб.
Партер, Правая сторона, Ряд 4, Место 7- 12000 руб.
Партер, Правая сторона, Ряд 4, Место 8- 12000 руб.
Партер, Правая сторона, Ряд 4, Место 9- 12000 руб.
Партер, Правая сторона, Ряд 4, Место 10- 12000 руб.
Партер, Правая сторона, Ряд 4, Место 11- 12000 руб.
Партер, Правая сторона, Ряд 4, Место 12- 12000 руб.
Партер, Правая сторона, Ряд 4, Место 13- 12000 руб.
Партер, Правая сторона, Ряд 4, Место 14- 12000 руб.
Партер, Правая сторона, Ряд 4, Место 15- 12000 руб.
Партер, Левая сторона, Ряд 4, Место 18- 12000 руб.
Партер, Левая сторона, Ряд 4, Место 19- 12000 руб.
Партер, Левая сторона, Ряд 4, Место 20- 12000 руб.
Партер, Левая сторона, Ряд 4, Место 21- 12000 руб.
Партер, Левая сторона, Ряд 4, Место 22- 12000 руб.
Партер, Левая сторона, Ряд 4, Место 23- 12000 руб.
Партер, Левая сторона, Ряд 4, Место 24- 12000 руб.
Партер, Левая сторона, Ряд 4, Место 25- 12000 руб.
Партер, Левая сторона, Ряд 4, Место 26- 12000 руб.
Партер, Левая сторона, Ряд 4, Место 27- 12000 руб.
Партер, Левая сторона, Ряд 4, Место 28- 12000 руб.
Партер, Левая сторона, Ряд 4, Место 29- 12000 руб.
Партер, Левая сторона, Ряд 4, Место 30- 12000 руб.
Партер, Правая сторона, Ряд 5, Место 1- 12000 руб.
Партер, Правая сторона, Ряд 5, Место 2- 12000 руб.
Партер, Правая сторона, Ряд 5, Место 3- 12000 руб.
Партер, Правая сторона, Ряд 5, Место 4- 12000 руб.
